RSTAXAG% Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/13/2009,9/13/2009,10/13/2009,11/13/2009,12/13/2009,1/13/2010,2/13/2010,3/13/2010,4/13/2010,5/13/2010,6/13/2010,7/13/2010,8/13/2010,9/13/2010,10/13/2010,11/13/2010,12/13/2010,1/13/2011,2/13/2011,3/13/2011,4/13/2011,5/13/2011,6/13/2011,7/13/2011,8/13/2011,9/13/2011,10/13/2011,11/13/2011,12/13/2011,1/13/2012,2/13/2012,3/13/2012,4/13/2012,5/13/2012,6/13/2012,7/13/2012,8/13/2012,9/13/2012,10/13/2012,11/13/2012,12/13/2012,1/13/2013,2/13/2013,3/13/2013,4/13/2013,5/13/2013,6/13/2013,7/13/2013
Jim O'Sullivan High Frequency Economics,0,0,0,0,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1
Joe LaVorgna Deutsche Bank Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,-1,0,1,-1,0,-1,-1,1,-1,-1,-1,-1,1,0
John Herrmann Herrmann Forecasting LLC,0,1,1,0,1,-1,1,1,-1,1,-1,1,-1,1,1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Brusuelas Brusuelas Analytics,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Harris Informa Global Markets,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knightley/Carnell/Brosens ING Financial Markets,0,0,0,0,0,0,0,0,-1,1,0,0,-1,0,-1,1,1,1,-1,1,-1,0,1,-1,1,-1,1,1,-1,-1,0,1,1,-1,0,-1,0,-1,1,0,0,-1,0,0,0,-1,1,-1
Laura Cavallaro Aletti Gestielle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lena Komileva Tullett Prebon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markus Schomer PineBridge Investments,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,-1,1,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,0,0,-1,0
Michael Carey Credit Agricole CIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
Michael Feroli J.P. Morgan Chase,0,1,0,0,-1,-1,-1,-1,1,0,0,-1,-1,1,0,-1,1,-1,-1,1,1,-1,1,-1,-1,-1,1,0,0,0,1,-1,-1,-1,0,-1,-1,-1,1,-1,1,1,-1,-1,0,-1,1,-1
Michael Moran Daiwa Securities America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
Mike Englund Action Economics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
