,2/17/10,3/17/10,4/17/10,5/17/10,6/17/10,7/17/10,8/17/10,9/17/10,10/17/10,11/17/10,12/17/10,1/17/11,2/17/11,3/17/11,4/17/11,5/17/11,6/17/11,7/17/11,8/17/11,9/17/11,10/17/11,11/17/11,12/17/11,1/17/12,2/17/12,3/17/12,4/17/12,5/17/12,6/17/12,7/17/12,8/17/12,9/17/12,10/17/12,11/17/12,12/17/12,1/17/13,2/17/13,3/17/13,4/17/13,5/17/13,6/17/13,7/17/13
Jeffrey Roach Horizon Investments,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jill Kalani/Guy Lebas Janney Montgomery Scott LLC,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1,0,1,-1,-1,1,-1,-1
Jim O'Sullivan High Frequency Economics,0,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,0,1,0,1,1,1,-1,0,-1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1
Joe LaVorgna Deutsche Bank Securities,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1
Joerg Angele Raiffeisenbank International,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,1,0,1,-1,1,1,1,1,1,-1,1,1,0,1,-1,-1
John Herrmann Herrmann Forecasting LLC,0,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Reiss Analytical Synthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Brusuelas Brusuelas Analytics,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ken Mayland ClearView Economics,1,-1,1,-1,0,1,-1,0,-1,-1,-1,-1,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1
Kevin Harris Informa Global Markets,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
