ADP CHNG Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/30/08,9/30/08,10/30/08,11/30/08,12/30/08,1/30/09,2/28/09,3/30/09,4/30/09,5/30/09,6/30/09,7/30/09,8/30/09,9/30/09,10/30/09,11/30/09,12/30/09,1/30/10,2/28/10,3/30/10,4/30/10,5/30/10,6/30/10,7/30/10,8/30/10,9/30/10,10/30/10,11/30/10,12/30/10,1/30/11,2/28/11,3/30/11,5/30/11,6/30/11,7/30/11,8/30/11,10/30/11,11/30/11,12/30/11,1/30/12,2/29/12,3/30/12,4/30/12,5/30/12,7/30/12,8/30/12,9/30/12,10/30/12,11/30/12,12/30/12,1/30/13,2/28/13,3/30/13,4/30/13,5/30/13,6/30/13,7/30/13
Ethan Harris BofA Merrill Lynch Research,1,-1,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,1,-1,0,1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,0,1,-1,-1,-1,-1,1,-1,0,1,-1,-1,-1,0,1,-1,-1,-1,-1
Gabriel Casillas Banorte-IXE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,1,-1,-1,-1,-1
Gareth Ryan Iur Capital Llc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0
Hiroki Shimazu SMBC Nikko Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,0,1,-1,1,1,-1,1,1,1,0,1,-1,1,0,1,-1,-1,-1,1
Hu/Garatti C I T I C Securities,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugh Johnson Hugh Johnson Advisors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,0,1,-1,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1
Ian Morris HSBC Markets,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Shepherdson High Frequency Economics,1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,1,-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ian Shepherdson Pantheon Macroeconomics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,-1,-1
James Shugg Westpac Banking Co.,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1
Jean-Pierre Petit Exane,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeavon Lolay Lloyds Bank Wbm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,1,0,1,0,0,0,0
Jill Kalani/Guy Lebas Janney Montgomery Scott LLC,1,-1,1,-1,-1,-1,0,-1,-1,1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,1
Jim O'Sullivan High Frequency Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,0,1,-1,-1,-1,1
Joe Brusuelas Merk Investments,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe LaVorgna Deutsche Bank Securities,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,0,0,0,-1,1,-1,1,-1,0,-1,-1,1,1,-1,1,0,1,-1,-1,-1,1,0,-1,-1,0,-1,-1
Joerg Angele Raiffeisenbank International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-1,1,1,-1,0,1,1,1,-1,-1,1,0,-1,-1,-1,0,-1
John Herrmann Herrmann Forecasting LLC,0,0,0,-1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,0,1,-1,0,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Brusuelas Brusuelas Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Brusuelas Moody's Economy.com,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julia Coronado BNP Paribas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0,1,-1,-1,-1,1
Kenneth Broux Lloyds TSB,1,-1,1,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
