CPUPXCHG Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/16/2008,8/16/2008,9/16/2008,10/16/2008,11/16/2008,12/16/2008,1/16/2009,2/16/2009,3/16/2009,4/16/2009,5/16/2009,6/16/2009,7/16/2009,8/16/2009,9/16/2009,10/16/2009,11/16/2009,12/16/2009,1/16/2010,2/16/2010,3/16/2010,4/16/2010,5/16/2010,6/16/2010,7/16/2010,8/16/2010,9/16/2010,10/16/2010,11/16/2010,12/16/2010,1/16/2011,2/16/2011,3/16/2011,4/16/2011,5/16/2011,6/16/2011,7/16/2011,8/16/2011,9/16/2011,10/16/2011,11/16/2011,12/16/2011,1/16/2012,2/16/2012,3/16/2012,4/16/2012,5/16/2012,6/16/2012,7/16/2012,8/16/2012,9/16/2012,10/16/2012,11/16/2012,12/16/2012,1/16/2013,2/16/2013,3/16/2013,4/16/2013,5/16/2013,6/16/2013,7/16/2013
Francesca Panelli Banca Aletti & C spa,1,0,1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,0,1,-1,1,-1,1,-1,-1,-1,1,0,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,0,1,1,1,-1,-1,1,1,1,1,0,-1,-1,1,-1,-1,-1,0,-1,0,-1,-1
Gabriel Casillas Banorte-IXE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,-1,-1,1,1,0,0,1,1
Girard/Sharif/Berger RBS Securities Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,1,1,-1,-1,-1,-1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1
Guy Verberne ABN Amro Bank,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harm Bandholz UniCredit Research,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,0,1,1,1,-1,1,1,0,1,1,-1,1,1,0,0,0,1,1,-1,-1,-1,0,-1,0,0,-1,1,1,-1,-1,1,-1
Harris/Coffin/Cummins UBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1
Heinrich Engelke Landesbank Berlin,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hiroki Shimazu SMBC Nikko Securities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,0,0,1,0,-1,1,1,0,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1
Hu/Garatti C I T I C Securities,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugh Johnson Hugh Johnson Advisors,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,-1,1,-1,1,-1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,0,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1
Ian Morris HSBC Markets,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Shepherdson High Frequency Economics,1,0,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,0,-1,-1,1,-1,0,1,-1,1,1,1,-1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ian Shepherdson Pantheon Macroeconomics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,-1,-1,-1,-1
Jacob Oubina GAIN Capital,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Shugg Westpac Banking Co.,1,1,1,-1,-1,-1,-1,-1,0,0,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,0,-1
Jason Schenker Prestige Economics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,-1,-1,1,-1
Jean-Pierre Petit Exane,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeavon Lolay Lloyds Bank Wbm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,1,-1,-1,1,0,0,0,0,0
Jeffrey Herzog Oxford Economics Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,-1,-1,0,0
Jeffrey Roach Horizon Investments,1,1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Jill Kalani/Guy Lebas Janney Montgomery Scott LLC,1,1,0,-1,-1,0,-1,-1,1,0,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,1
Jim O'Sullivan High Frequency Economics,1,-1,1,-1,-1,-1,-1,1,0,1,1,1,0,1,0,0,1,-1,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,0,1,0,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,1,1
Joe Brusuelas Merk Investments,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe LaVorgna Deutsche Bank Securities,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1
Joerg Angele Raiffeisenbank International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,-1,-1,0,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,0,-1,1,1,1,-1,-1,1,0,1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1
John Herrmann Herrmann Forecasting LLC,0,0,0,0,-1,-1,0,1,1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Silvia Wells Fargo & Co.,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,0,1,1,-1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-1
Joseph Brusuelas Brusuelas Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Brusuelas Moody's Economy.com,1,1,1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
